FID,newID,X0_30cm,Clay50m30,Clay100m30,Clay250m30,Clay250mv2
57,58,29.236899999999999,26.351687756626216,13.408495558249248,17.501988952130098,33.683169459454575
169,170,29.236899999999999,32.337966472679120,13.526180445078099,16.414631268617601,32.853418780235820
191,192,29.236899999999999,33.422599452684345,13.057477913128611,16.077282764942840,32.221765559839149
89,90,29.640000000000001,35.484054816448364,13.533637945322189,15.396362091259936,35.488547651495836
110,111,29.640000000000001,34.652565077893506,15.064706215453375,18.633016065279463,32.194540792500000
115,116,29.640000000000001,33.235988387442717,13.658041305524861,16.966298896231706,31.062171377632968
118,119,29.640000000000001,33.565924974598559,14.301266930985872,16.236625457765726,30.005504237057870
231,232,29.640000000000001,55.343028300270696,14.275189243386034,18.493776633051088,31.196729640055555
44,45,29.654100000000000,29.323121064193671,12.853379689358487,16.591392874930708,29.465885295156347
91,92,29.654100000000000,34.363343775919311,13.880473806933830,16.332095875248324,33.953884552352278
123,124,29.654100000000000,32.856939729073957,15.340592053042844,19.203867315373632,29.742689970946191
137,138,29.654100000000000,33.434091980627215,13.390444464208837,15.790384177992454,29.900366746202558
1,2,29.758700000000001,34.860920548940165,15.812366873953197,17.716935495660717,28.162872640722100
5,6,29.884499999999999,28.317081827939592,20.927296006916521,22.279320590273059,30.947194703607916
22,23,29.884499999999999,29.204760924522905,19.444045100899430,20.091990521684870,30.529652944797924
32,33,29.884499999999999,25.669214073031984,22.250182925709545,22.840448791899458,31.153174996586866
34,35,29.884499999999999,27.201945592928016,21.252398169057216,22.098776787554989,29.947579923392503
50,51,29.884499999999999,27.354318014902471,20.222641007284984,21.914187637294368,31.521935297824445
52,53,29.884499999999999,30.292201105037925,19.436330944059652,21.660039102904395,33.109273894640211
109,110,29.884499999999999,34.209273520369813,21.517731116640721,21.419973263534743,30.511957814740740
142,143,29.884499999999999,30.363236835866143,22.411009440018521,21.912716984660484,29.673688002677569
159,160,29.884499999999999,26.351022888796024,22.245256281516376,21.578868070722351,31.061142761808568
203,204,29.884499999999999,32.364861087912196,21.796315601054086,22.554232777185288,31.822684444383789
90,91,29.915500000000002,31.840715137067374,13.254210602808042,15.868729207271473,31.642695557990070
219,220,29.915500000000002,30.971360454403460,13.556208069601025,16.268956894687904,30.247068590059207
248,249,29.915500000000002,30.791547386986917,13.743236003568915,16.730399634551961,34.317773358839517
56,57,30.068800000000000,31.816256429093148,12.716169367937724,16.489931827344940,31.516187000236172
225,226,30.068800000000000,34.406961779039975,13.499041541049294,15.871549560804835,31.961453942257272
239,240,30.330900000000000,27.908669913203674,13.446335078135732,15.891027138226596,35.459391822559979
100,101,30.376999999999999,30.915236997922506,13.641794721675057,15.979294201236479,34.095878599715618
220,221,30.376999999999999,24.759065383285975,13.685671835242303,17.150774009793910,33.838017293594618
55,56,30.453700000000001,36.149480702426061,14.066266433485625,16.395395488694589,31.429396172479681
87,88,30.453700000000001,44.657640017838027,14.135342998892767,16.998365468477115,31.460192793089359
93,94,30.453700000000001,32.627225027156086,13.142133258713232,16.789477671740205,30.854050267148015
96,97,30.453700000000001,31.309265063641082,17.266429093661884,21.778916902256356,32.445852970468849
103,104,30.453700000000001,31.012730808733210,13.159775961902508,16.372116377872135,33.285816349962907
133,134,30.453700000000001,35.424947177944425,14.974074279538423,20.136047297785435,28.009599372242540
135,136,30.453700000000001,33.398501332974455,15.425924843124895,20.022813136847194,29.908506383525300
139,140,30.453700000000001,33.048542743872112,14.651881622462025,17.578719411224537,30.557375678057895
140,141,30.453700000000001,31.441186938428153,15.907681680134139,19.994166180685841,29.782802719787679
145,146,30.453700000000001,33.564841826895865,14.378562252880306,17.749307903658842,29.432741268947670
151,152,30.453700000000001,34.454026766190154,14.633572825302318,19.365194335135897,28.739543125794761
162,163,30.453700000000001,34.654961400991660,15.107444742663199,18.928178566892750,30.051031203315826
184,185,30.453700000000001,34.038559373692294,13.417352834251806,15.950685806832967,31.119052911615007
198,199,30.453700000000001,36.694499702761455,13.281174298193436,16.784574977186217,30.916666030883793
224,225,30.453700000000001,31.695115351104537,13.620049346338504,15.788794962633931,33.607163515095692
249,250,30.453700000000001,34.869613810542127,16.260038363005659,20.634788674997267,29.510079031982546
126,127,30.508800000000001,27.520957355080181,21.883407739441854,22.013581553881266,29.097531618677198
213,214,30.804700000000000,26.967814346575725,20.478772755106604,19.371204495177334,31.984956908859974
119,120,30.969000000000001,33.510883185022251,15.029047322354081,18.636352875247233,31.988647395533462
128,129,30.969000000000001,33.724107379844739,16.510559470594806,20.940998835415709,29.868883040043880
178,179,30.969000000000001,32.602265239737143,12.872180008088012,15.727004246024197,28.949263761463818
38,39,31.002099999999999,26.920839497215059,20.428467803064333,22.375253731648698,29.301079804911094
54,55,31.002099999999999,26.823419406310062,21.293226799171851,21.540830733686544,31.259597914729554
148,149,31.002099999999999,33.685505135368651,21.611742755272953,22.541049845615905,31.243349994564522
214,215,31.002099999999999,32.530137414771758,22.631257256299666,22.297236797040188,31.707614220230521
250,251,31.002099999999999,26.318012908689820,21.387044523534968,20.801989898186488,31.848386582777149
60,61,31.011900000000001,33.087411954056364,13.653070433626922,16.700817785125320,33.606067542063052
